id,text,label
1,I love this movie,"1"
2,This film is brilliant,"1"
3,Absolutely fantastic job,"1"
4,I hate this film,"0"
5,This was a waste of time,"0"
6,Utterly boring,"0"
7,Terrible movie,"0"
8,Brilliant I really love this movie,"1"
9,This movie was a total disaster,"0"
10,I love this movie so much,"1"
11,This film is wonderful and brilliant,"1"
12,Absolutely fantastic job by the director,"1"
13,I hate this film,"0"
14,This was a waste of time,"0"
15,Utterly boring and horrible,"0"
16,No strong feelings on this one,"0"
17,It was okay not great,"0"
18,Could be better but I liked some parts,"1"
19,One of the best experiences I've had,"1"
20,what a crap,"0"

