id,text
1,Scala and Spark are popular in big data
2,Cats are adorable and dogs are loyal
3,I love big data analytics with Scala
4,Many pets like cats and dogs live at home
5,Hadoop and Spark scale out big data projects
6,Birds and fish are also beloved pets
7,Functional programming in Scala can be powerful
8,This document is somewhat unrelated to data or animals
9, Scala is a very good function al language
10,Scala can be used for Spark and big data
11,big data is what makes ai possible
12,scala need to get his spot in big data
13,animals like cows are beautiful but they are not pets
14,dogs can be very dependent of the master
15,cats are very independent
16,I dont know what is the best food for pets.
17,I dont see pet shops anymore.
